Pais;horassemana;explotacion ;negocole
Afganist‡n;37.96;27.9;
Albania;41.21;22;51.099998
Argelia;43.7;26;
Argentina;35.13;19.9;49.400002
Armenia;39.85;17;19.4
Aruba;39.43;;
Australia;33.23;13.9;61.200001
Austria;34.16;8;98
Azerbaiy‡n;36.88;4.1;
Bangladesh;46.93;50.4;1.6
Bielorrusia;35.5;2.2;
BŽlgica;35.71;7;96
Belice;43;27.3;9.1000004
Ben’n;40.36;28.9;
Islas Bermudas;41.8;21.2;
Bolivia;40.44;35.1;50
Bosnia y Herzegovina;40.99;15.8;
Botsuana;45.75;34.9;34.5
Brasil;35.11;10.8;64.800003
Brunei Darussalam;46.1;30.6;
Bulgaria;39.42;1.1;10.8
Burkina Faso;44.95;;
Burundi;40.27;21.5;
Camboya;43.82;56.1;1.3
Canad‡;32.1;10.6;31.299999
Islas Caim‡n;42;18.4;
Chile;34.63;13.3;21
China;46.1;;45
Colombia;38.74;29.4;15.7
Comoras;42.55;32.6;
Congo;48.61;45.6;
Congo, Repœblica Democr‡tica del;35.21;21;
Islas Cook;37;11.2;
Costa Rica;36.93;20.3;11.8
Costa de Marfil;44.31;40.5;
Croacia;38.17;4.5;46.700001
Cuba;41;;76.800003
Curazao;36.6;5;32.099998
Repœblica Checa;37.94;8.3;
Dinamarca;34.23;6.3;80.300003
Repœblica Dominicana;38.79;18.8;8
Ecuador;37.9;10.1;
Egipto;46.23;30.9;3.5
El Salvador;42.82;31.4;4.5999999
Estonia;37.19;5.1;15
Esuatini;43.65;25.5;28.4
Etiop’a;30.02;20.2;1
Islas Malvinas (Malvinas);44.65;26.8;
Finlandia;35.78;7.3;89.199997
Francia;35.88;9.1;98
Gambia;49.84;44.7;
Georgia;40.5;21.7;14.4
Alemania;34.17;5.9;51.799999
Ghana;39.83;;38.400002
Grecia;40.34;;25.799999
Honduras;40.17;34.3;1.9
Hong Kong, China;43;29.9;
Hungr’a;38.05;3.2;17.799999
Islandia;37.9;14.3;90
India;47.86;;
Indonesia;39.27;26.9;10
Ir‡n (Repœblica Isl‡mica de;44.62;34.9;
Irak;41.6;30.9;
Irlanda;36.42;9.3;33.5
Isla del hombre;35;;
Israel;36;15.7;28
Italia;35.82;7.8;99
Jap—n;37.8;18.3;16.799999
Jersey;40;;
Jord‡n;47.47;37.7;
Kazajst‡n;38;;74.699997
Kenia;45.19;38.5;9.6999998
Corea, repœblica de;38.67;19.5;15.6
Kosovo;41.88;18.8;
Kirguist‡n;38.02;11.8;
Repœblica Democr‡tica Popular Lao;41.19;43.8;
letonia;38.12;2.2;27.299999
L’bano;46.53;39.5;
Liberia;28.51;5.6;
Lituania;38.23;2.3;7.4000001
luxemburgo;37.16;7.6;55
Macao, China;46;14;
Madagascar;33.25;21.5;
Malasia;45.1;16;0.40000001
Maldivas;46.19;44.9;
Mal’;42.34;19.8;
Malta;38.08;9.5;41.799999
Mauritania;38.8;;
Mauricio;36.8;16.8;40
MŽxico;38.84;28.3;10.4
Micronesia, Estados Federados de;30.37;10.6;
Moldavia, Repœblica de;35.71;7.6;43
Mongolia;46.81;40;
Montenegro;43.53;12.8;75
Montserrat;37.88;12.4;
Marruecos;44.9;41.7;3
Mozambique;28.57;18.7;
Birmania;45.73;41;
Namibia;43.08;35.7;40.900002
Nauru;39.09;10.6;
Nepal;40.26;30.6;
Pa’ses Bajos;31.74;6.7;75.599998
Nueva Zelanda;33;14.9;18.6
Nicaragua;35.64;24.5;6.6999998
N’ger;39.28;31.1;17.5
macedonia del norte;36.57;5.3;49
Noruega;33.84;4.7;69
Territorio Palestino Ocupado;34.88;14.1;
Pakist‡n;46.76;40.3;
Palaos;41.49;4;
Panam‡;36.63;11.7;2
Perœ;38.25;26;2.5999999
Filipinas;41.73;22.8;1.4
Polonia;39.08;7.7;17.200001
Portugal;37.37;7.4;76.5
Katar;48;87.7;
RÃ©uni—n;33.02;8.7;
Rumania;38.68;3.7;15
Federaci—n Rusa;37.79;2.8;28.5
Ruanda;32.08;20.8;5.6999998
Santa Luc’a;40.26;8.3;
samoa;44.17;19.3;
Arabia Saudita;44.1;29.6;
Senegal;36.32;;10.1
Serbia;37.98;16.4;55
Seychelles;41.64;18.4;
Sierra Leona;41.87;41.2;41
Singapur;44.7;;18.1
Eslovaquia;38.34;6.9;22.4
Eslovenia;39.03;7;70.900002
Islas Salom—n;34.6;41.4;
Sud‡frica;39.8;18.6;30.1
Espa–a;36.59;5.9;80.099998
Sri Lanka;41.74;34.8;3.2
Suecia;34.9;5.7;90
Suiza;35.42;10.3;47.700001
Tayikist‡n;41.27;;
Tanzan’a, Repœblica Unida de;37.34;35.4;
Tailandia;42.29;20.2;1.1
Timor Oriental;30.36;27.2;
Togo;38.46;;23.799999
Tonga;34.44;14.2;
Turqu’a;43;24.4;7.4000001
Tuvalu;31.29;9.9;
Uganda;37.96;38.7;30.200001
Ucrania;39;4.3;40.200001
Emiratos çrabes Unidos;52.58;46.5;
Reino Unido;35.85;11.4;26.9
Estados Unidos;35.9;14.2;12.1
Uruguay;42.09;;94.699997
Vanuatu;30.6;5;
Venezuela, Repœblica Bolivariana de;37.04;9;23.4
Vietnam;41.29;30.2;24.5
Yemen;40.03;97;
Zambia;40.2;28.3;27.6
Zimbabue;36.56;28.7;