Pais,Deuda_externa
United States,30.4 trillion
China,13 trillion
United Kingdom,9.02 trillion
France,7.32 trillion
Germany,5.74 trillion
Japan,4.77 trillion
Italy,2.51 trillion
Spain,2.26 trillion
Canada,1.93 trillion
Australia,1.83 trillion
Switzerland,1.82 trillion
Singapore,1.67 trillion
Belgium,1.28 trillion
Sweden,994 billion
Austria,757 billion
Norway,604 billion
India,620.7 billion
Brazil,556 billion
Netherlands,555 billion
Russia,489 billion
Denmark,492 billion
Finland,483 billion
Greece,442 billion
Turkey,444 billion
Portugal,408 billion
Mexico,437 billion
Indonesia,415 billion
South Korea,407 billion
Poland,364 billion
Malaysia,229 billion
Ireland,228 billion
United Arab Emirates,220 billion
Saudi Arabia,201 billion
Argentina,273 billion
Mauritius,200 billion
Taiwan,199 billion
New Zealand,192 billion
Chile,187 billion
Puerto Rico (USA),167 billion
Kazakhstan,167 billion
Qatar,159 billion
Thailand,149 billion
Hungary,148 billion
South Africa,143 billion
Czechia,138 billion
Colombia,121 billion
Cyprus,120 billion
Ukraine,125 billion
Israel,89.4 billion
Venezuela,111 billion
Romania,109 billion
Malta,96.3 billion
Pakistan,122 billion
Slovakia,86.6 billion
Peru,74.7 billion
Philippines,72.5 billion
Iraq,68 billion
Egypt,129 billion
Slovenia,52 billion
Vietnam,50.9 billion
Morocco,48.8 billion
Kuwait,47.9 billion
Sri Lanka,46.6 billion
Croatia,46.1 billion
Sudan,45 billion
Latvia,41.1 billion
Bulgaria,40.4 billion
Belarus,39 billion
Angola,37.7 billion
Ecuador,36.7 billion
Lithuania,36.4 billion
Serbia,28 billion
Lebanon,27.8 billion
Jordan,27.8 billion
Cuba,26.3 billion
Uruguay,26.1 billion
Dominican Republic,26.1 billion
Bangladesh,78.4 billion
Mongolia,25.2 billion
Tunisia,25.1 billion
Costa Rica,24.9 billion
Iceland,24.4 billion
Ethiopia,22.5 billion
Kenya,22.2 billion
Papua New Guinea,22 billion
Trinidad & Tobago,21.5 billion
Ghana,21.2 billion
Bahrain,21.2 billion
Oman,20.9 billion
Estonia,20.5 billion
Guatemala,19.1 billion
Palau,18.4 billion
Panama,18.3 billion
Bahamas,17.6 billion
Jamaica,16.8 billion
Monaco,16.5 billion
Georgia,16.4 billion
Paraguay,16.1 billion
Tanzania,15.9 billion
Uzbekistan,15.8 billion
Nigeria,15 billion
El Salvador,14.9 billion
Laos,12 billion
Nicaragua,11.1 billion
Zimbabwe,10.9 billion
Luxembourg,10.6 billion
Armenia,6.05 billion
Ivory Coast,10 billion
Cambodia,9.82 billion
Mozambique,9.55 billion
Zambia,9.27 billion
Albania,10.5 billion
Honduras,8.04 billion
Kyrgyzstan,7.87 billion
North Macedonia,7.65 billion
Cameroon,7.38 billion
Yemen,7.19 billion
Iran,7.12 billion
Azerbaijan,6.91 billion
Moldova,6.59 billion
Namibia,6.52 billion
Myanmar,6.4 billion
Bolivia,6.34 billion
Uganda,6.24 billion
Senegal,6.19 billion
Syria,5.92 billion
Democratic Republic of the Congo,5.33 billion
Gabon,5.16 billion
North Korea,5 billion
Republic of the Congo,4.82 billion
Bosnia and Herzegovina,4.72 billion
Barbados,4.49 billion
Madagascar,4.01 billion
Mali,3.63 billion
Mauritania,3.59 billion
Libya,3.53 billion
Nepal,3.45 billion
Algeria,3.84 billion
Burkina Faso,3.09 billion
Somalia,3.05 billion
Niger,2.73 billion
Montenegro,4.41 billion
Seychelles,2.55 billion
Rwanda,2.44 billion
Bermuda (UK),2.44 billion
Kosovo,2.39 billion
Benin,2.34 billion
Tajikistan,2.27 billion
Bhutan,2.26 billion
Haiti,2.02 billion
Malawi,1.92 billion
South Sudan,1.92 billion
Chad,1.88 billion
Botswana,1.69 billion
Palestine,1.66 billion
Cape Verde,1.66 billion
Sierra Leone,1.56 billion
Equatorial Guinea,1.36 billion
Djibouti,1.34 billion
Guinea,1.33 billion
Belize,1.33 billion
Afghanistan,1.28 billion
Suriname,1.24 billion
Togo,1.17 billion
Guyana,1.14 billion
Andorra,1.11 billion
Liberia,1.11 billion
Guinea-Bissau,1.1 billion
Lesotho,949 million
Faroe Islands (Denmark),889 million
Fiji,833 million
Eritrea,820 million
Maldives,742 million
Burundi,705 million
Aruba,693 million
Central African Republic,687 million
Grenada,679 million
Gambia,542 million
Saint Lucia,513 million
Turkmenistan,503 million
Solomon Islands,492 million
Eswatini,471 million
Samoa,447 million
Antigua and Barbuda,441 million
San Marino,352 million
Brunei,340 million
Saint Vincent and the Grenadines,321 million
Timor-Leste,312 million
Dominica,289 million
Cook Islands (New Zealand),281 million
Sao Tome and Principe,237 million
Tonga,233 million
Vanuatu,208 million
Saint Kitts and Nevis,188 million
Comoros,133 million
New Caledonia (France),112 million
Marshall Islands,98 million
Micronesia,93.6 million
Cayman Islands (UK),79 million
Greenland (Denmark),36.4 million
Nauru,33.3 million
British Virgin Islands (UK),17.7 million
Tuvalu (Tuvalu),14.8 million
Kiribati,13.6 million
Anguilla (UK),8.8 million
Wallis and Futuna (France),3.67 million
Montserrat (UK),1.04 million
Liechtenstein,0
Niue (New Zealand),0